s_idx,Peak_dist,Peak_Intensity,lambda,theta_deg,href
0,8.48528137423857,6.921212479806538,301.6988933062603,45.0,101.96655023522099
1,8.48528137423857,7.040117767296865,301.6988933062603,45.0,100.41039799464812
2,8.48528137423857,7.176307725855779,301.6988933062603,45.0,99.92276083719847
3,8.48528137423857,7.234461139694245,301.6988933062603,45.0,99.02634443701976
4,8.48528137423857,7.212865968382656,301.6988933062603,45.0,98.06500962469735
5,8.48528137423857,7.2346650630928,301.6988933062603,45.0,96.50602331169866
6,8.48528137423857,7.226098682336993,301.6988933062603,45.0,95.0
7,8.48528137423857,7.184190166603675,301.6988933062603,45.0,93.77065297533774
8,8.48528137423857,7.062620413983048,301.6988933062603,45.0,90.97378117915552
9,8.48528137423857,6.939659952757313,301.6988933062603,45.0,90.0
10,8.48528137423857,6.8363431200127955,301.6988933062603,45.0,88.93342576222705
11,8.48528137423857,6.85581654976923,301.6988933062603,45.0,88.0
12,8.48528137423857,6.882575308083442,301.6988933062603,45.0,87.4996123349086
13,8.48528137423857,6.8952896155869645,301.6988933062603,45.0,87.05910969730746
14,8.48528137423857,6.874571060143007,301.6988933062603,45.0,85.0
15,8.48528137423857,6.878706033156538,301.6988933062603,45.0,84.53040368475463
16,8.48528137423857,6.76746860197151,301.6988933062603,45.0,84.0
17,8.48528137423857,6.718965920352573,301.6988933062603,45.0,83.0
18,8.48528137423857,6.646358864029948,301.6988933062603,45.0,82.0
19,8.48528137423857,6.609923233363926,301.6988933062603,45.0,81.49980969198717
20,8.48528137423857,6.611603013187431,301.6988933062603,45.0,81.00291605066052
21,8.48528137423857,6.6457221220713585,301.6988933062603,45.0,79.43889122442927
22,8.48528137423857,6.656300669999499,301.6988933062603,45.0,79.41108035264449
23,12.806248474865697,6.6106025625039235,297.4573733858918,45.26228260820933,79.93991447403788
24,12.806248474865697,6.582402868973256,293.5551750591527,45.50401643212518,79.95196600156282
25,12.806248474865697,6.395662019667303,289.48331593559897,45.75666648239347,80.51417452680101
26,8.94427190999916,6.509522206053305,288.86402824814746,46.45685204802356,80.55164329794846
27,10.0,6.4884430778697615,287.03607251589705,46.78309228599785,80.0
28,10.0,6.554480971846849,285.20811678364663,47.10992670521028,79.5000114101076
29,10.0,6.460486383273572,283.3801610513962,47.43727163960889,79.0
30,7.211102550927978,6.607187622005439,285.5125303425117,47.890168265696616,78.498901537004
31,7.211102550927978,6.775532600042228,287.6448996336271,48.34445533284752,78.0
32,7.211102550927978,6.8618480378224165,289.7772689247426,48.7999098403943,76.86343552533631
33,7.211102550927978,6.920768863511516,291.9096382158581,49.25630528175285,77.23403050957556
34,7.211102550927978,6.916846384639341,294.0420075069735,49.7134123048996,76.98598975911521
35,7.211102550927978,6.868506515579636,296.174376798089,50.17099939421274,76.0006537830118
36,7.211102550927978,6.799449087498099,298.3067460892044,50.62883356868675,74.93773145160186
37,7.211102550927978,6.743996205563652,300.43911538031983,51.0866810912991,74.92140735529863
38,7.211102550927978,6.6369525114314,302.5714846714353,51.544308184150594,75.06253989240271
39,8.48528137423857,6.663396481775271,302.5714846714353,51.544308184150594,74.50029002472873
40,8.48528137423857,6.8419332460625535,302.5714846714353,51.544308184150594,74.0
41,8.48528137423857,6.962863603680444,302.5714846714353,51.544308184150594,73.50781233325753
42,8.48528137423857,7.0920830107067925,302.5714846714353,51.544308184150594,73.0
43,8.48528137423857,7.18525433621389,302.5714846714353,51.544308184150594,72.50035196581337
44,8.48528137423857,7.181153924405288,302.5714846714353,51.544308184150594,72.50061727996649
45,8.48528137423857,7.161126050017528,302.5714846714353,51.544308184150594,72.0032900458309
46,8.48528137423857,7.07891879676241,302.5714846714353,51.544308184150594,72.47681350150327
47,8.48528137423857,7.024156644463775,302.5714846714353,51.544308184150594,73.00511968355514
48,8.48528137423857,6.880571643967586,306.6433437949891,51.28812497119837,72.99928988025957
49,10.0,6.818148415039303,308.8872471862925,50.71986622036071,73.0
50,10.0,6.816063441474453,311.13115057759586,50.146258350849145,73.0
51,10.0,6.748715855722051,309.92248253279695,49.09222306100205,73.0
52,7.211102550927978,6.77381788402806,313.8828075561628,49.22052996713823,73.0
53,7.211102550927978,6.721209918468733,317.8431325795287,49.349060643375296,73.0
54,12.806248474865697,6.6075239705816475,315.5992291882253,48.76214103806883,73.0
55,10.198039027185569,6.486574610759023,311.44005028393445,49.49080529374064,73.0
56,10.0,6.545603603445155,307.4797252605686,48.69036152155134,73.0
57,10.0,6.668903397412587,303.5194002372027,47.88661960624978,72.99612552067936
58,10.0,6.687948196966971,299.5590752138368,47.08083027360101,73.0
59,10.0,6.774724755138009,295.598750190471,46.27426354746502,73.0
60,10.0,6.765853616803193,291.6384251671051,45.46819681762467,73.10106199321814
61,10.0,6.7247307229896185,287.6781001437392,44.66390273388384,72.99783228394872
62,10.0,6.640093293746668,283.71777512037335,43.8626372120435,72.54441362783943
63,10.0,6.594038945635226,279.7574500970075,43.06562783246224,72.52876566205829
64,10.0,6.63741896584575,277.92949436475715,42.72612409371665,72.54813977382206
65,11.313708498984761,6.607617615748263,274.91250543169446,42.72612409371665,72.0309608252827
66,11.313708498984761,6.6307333268103505,271.8955164986319,42.72612409371665,72.51451198718904
67,11.313708498984761,6.602732436257889,268.8785275655693,42.72612409371665,72.0
68,11.313708498984761,6.6015540776145425,265.86153863250667,42.72612409371665,72.0001704422364
69,11.313708498984761,6.553976290138361,262.8445496994441,42.72612409371665,72.0
70,10.0,6.506231009007356,261.01659396719367,42.38611585297961,71.5
71,8.48528137423857,6.630786030381041,261.01659396719367,42.38611585297961,71.0
72,8.48528137423857,6.766800393952677,261.01659396719367,42.38611585297961,71.0
73,8.48528137423857,6.878539200739282,261.01659396719367,42.38611585297961,70.56195065518499
74,8.48528137423857,6.868196491006667,262.8445496994441,42.72612409371665,70.00643349846571
75,8.48528137423857,6.880413679239763,264.6725054316945,43.06562783246224,69.5322656935464
76,8.48528137423857,6.889259177360237,266.5004611639449,43.404533067137265,68.99941651052364
77,8.48528137423857,6.879215556945298,264.36809187282944,42.95018675126041,68.00727436861317
78,8.48528137423857,6.787535441521778,262.23572258171396,42.499777879778975,67.53172771496759
79,10.0,6.8230134142886625,264.47962597301733,42.426353669069684,67.00770470295606
80,10.0,6.911081322788636,264.67847985394235,41.09864926834421,66.53254510639522
81,10.0,6.969007871527493,264.67847985394235,41.098649268344204,65.99926275522034
82,10.0,7.078884853716022,264.67847985394235,41.09864926834421,65.0
83,10.0,7.117831611862618,264.67847985394235,41.098649268344204,64.49552140113575
84,10.0,7.179160061211441,264.67847985394235,41.74273523088195,64.0
85,10.0,7.183908853628889,264.67847985394235,42.39014491314362,63.49595860601764
86,10.0,7.16293651293292,264.67847985394235,43.04023836763375,63.0
87,10.0,7.173002691385607,264.67847985394235,43.692359296274304,62.5
88,10.0,7.176840180437647,264.67847985394235,44.34583891350988,62.0
89,10.0,7.146280285522367,264.67847985394235,45.0,61.5
90,10.0,7.139440369653434,265.8675130547545,45.327657653472066,61.0
91,10.0,7.097218826805812,267.05654625556673,45.65630161873173,60.5
92,10.0,7.066200266746624,268.2455794563789,45.98584948583588,60.0
93,10.0,7.031343454724945,269.4346126571911,46.31621743449325,59.5
94,10.0,6.971889776741958,270.6236458580033,46.64732035468484,59.0
95,10.0,6.955808406647758,270.6236458580033,47.30381453098735,58.48742102329603
96,10.0,6.916539960396985,268.79569012575286,47.635508060617404,58.08900895755343
97,10.0,6.829020423345563,266.9677343935025,47.967585615475905,58.38967574662757
98,12.806248474865697,6.728697799541506,262.8958752699487,47.71341196856737,58.0
99,12.806248474865697,6.814756391906144,258.8240161463949,47.45829533479805,57.43715763068899
100,12.806248474865697,6.754303043439816,254.75215702284112,47.202271139635364,57.03712718802745
101,12.806248474865697,6.585130136551894,250.68029789928735,46.94537564076167,56.901986069530956
102,10.770329614269007,6.596739267473159,248.119943481702,47.83491908942539,56.13811879034293
103,11.661903789690601,6.6159765961262575,244.83271530874805,48.41060122854948,56.067867635940274
104,11.661903789690601,6.6700565127414855,243.37344286804452,49.31485241691757,55.63069258413681
105,8.94427190999916,6.755739500222314,244.5821109128434,50.38684295484805,55.8928512642478
106,8.94427190999916,6.834921476341457,245.79077895764237,51.45817770681645,54.92995561057321
107,8.94427190999916,6.793928987751195,246.99944700244126,52.52587182158665,55.00666017151698
108,8.94427190999916,6.722527839679039,248.2081150472402,53.58700093185624,55.0
109,11.661903789690601,6.565582002265679,246.74884260653664,53.8311864716852,55.0
110,11.661903789690601,6.586427766263674,245.2895701658331,54.07570034809122,54.93778755212704
111,8.48528137423857,6.657376492568962,247.1175258980835,53.7430880746666,55.0
112,8.48528137423857,6.7548599607073,248.94548163033392,53.40919843821211,55.0625
113,8.48528137423857,6.821607829899281,250.77343736258433,53.07411527587659,54.5012202673645
114,8.48528137423857,6.851447622241649,252.60139309483475,52.73792433087451,53.98006265860391
115,8.48528137423857,6.778665567355962,254.42934882708516,52.40071313413391,53.96647669326441
116,8.48528137423857,6.581704349379763,256.2573045593356,52.06257087893471,54.0
117,12.806248474865697,6.551541946743706,254.0134011680322,51.987383087076424,54.02770035811079
118,8.94427190999916,6.512002873623806,255.22206921283112,52.40899688335513,54.04824446439805
119,8.94427190999916,6.557163724653689,256.43073725763,52.83320697257051,53.49701377857962
120,10.0,6.595847202601182,256.43073725763,52.176141936355755,53.0
121,10.0,6.648761564888692,256.43073725763,51.511274628903806,53.0
122,11.661903789690601,6.703121038654915,254.9714648169265,51.76059801692845,53.0
123,10.0,6.740105415699403,257.21536820822985,51.69282574038259,52.50028797231589
124,10.0,6.729383658666747,259.4592715995332,51.624883575444464,52.0
125,10.0,6.748860274249353,261.7031749908366,51.55677164968183,52.0
126,10.0,6.669181101331457,263.94707838214,51.48849009897754,51.5
127,10.0,6.5450688705804705,264.6794770674749,50.20987582685471,51.0
128,10.0,6.442846463870469,266.1387495081784,49.282582905336476,51.0
129,8.94427190999916,6.329033792412941,268.80668999368095,49.45587816089624,50.5
130,10.0,6.407206732706132,267.59802194888204,49.0365736925299,50.0
131,10.0,6.437472243778045,266.38935390408307,48.62133413233733,50.0
132,10.0,6.555492615481838,265.18068585928415,48.21027255298862,50.0
133,10.0,6.671605302381976,263.97201781448524,47.80349288576909,49.4983101217573
134,10.0,6.743059981784939,265.4312902551888,47.56519851285064,49.0
135,10.0,6.795651194976688,266.89056269589236,47.32811267563232,49.01084729844392
136,10.0,6.869457980894227,265.06260696364194,47.668509051447636,49.0
137,10.0,6.874069222187908,263.2346512313915,48.00930051736626,49.0
138,10.0,6.939178930708753,261.4066954991411,48.35039116894703,48.5
139,10.0,6.989838876235958,259.5787397668907,48.69168459417361,48.0
140,10.0,7.000546850585024,257.7507840346403,49.033084036259396,47.99649267798065
141,10.0,7.046317031570219,255.92282830238986,49.374492557915595,48.067365235954355
142,10.0,7.05034121350025,258.16673169369324,49.44953925366171,47.42011823276539
143,10.0,7.012978606023543,256.9580636488943,49.0398586673499,46.80705428938086
144,10.0,6.982444098343154,255.7493956040954,48.6340579452713,46.05513019277168
145,10.0,6.838363127330393,255.7493956040954,49.296311052409216,46.0
146,11.661903789690601,6.802533381733441,254.29012316339183,50.193235733257644,45.39533261111963
147,11.661903789690601,6.791674652220014,254.29012316339183,50.193235733257644,45.20682113848872
148,11.661903789690601,6.685288302183386,252.83085072268827,51.08578260305236,45.34289972868464
149,11.661903789690601,6.674492652619582,251.37157828198474,51.97226680752737,45.00368049120368
150,11.661903789690601,6.64567149494579,249.91230584128118,52.85107257210016,44.96447742953304
151,10.0,6.638728655201066,249.91230584128118,52.85107257210016,45.0
152,11.661903789690601,6.637045317339601,248.45303340057762,53.72066958787271,44.41442075644609
153,11.661903789690601,6.71763312045361,246.9937609598741,54.579627094836354,44.771868631296016
154,8.94427190999916,6.650947395661093,246.99376095987407,54.579627094836354,44.56664232035557
155,8.94427190999916,6.628075552200049,248.202429004673,54.992488954312165,44.61854902144573
156,8.94427190999916,6.632466535465375,249.41109704947195,55.40672797976326,45.066513448690614
157,8.94427190999916,6.623450216966089,250.61976509427083,55.82217705636449,44.53529029811388
158,8.48528137423857,6.620248287980156,252.44772082652125,55.50037209635881,44.46071214521344
159,8.48528137423857,6.718606875987473,254.27567655877166,55.176906749519134,44.11373122021192
160,10.0,6.750553763426565,254.27567655877166,55.176906749519134,43.96295947156369
161,10.0,6.76861688431284,254.27567655877166,55.176906749519134,43.93238761905609
162,8.48528137423857,6.77952759760606,256.10363229102205,54.85185122915161,43.934447899148324
163,11.313708498984761,6.71910207107546,254.9145990902099,54.52527807767111,44.06283448061531
164,11.313708498984761,6.760822450346766,253.7255658893977,54.19726209344301,44.0
165,11.313708498984761,6.661690633157082,252.5365326885855,53.867880249755785,43.931516107236
166,11.313708498984761,6.609591310518847,251.34749948777332,53.53721160604016,44.0
167,11.313708498984761,6.439390121944007,250.15846628696113,53.20533721149875,44.0454506626568
168,8.94427190999916,6.248311969519441,251.36713433176,52.24064788202602,43.515186666313426
169,12.806248474865697,6.403652545335323,249.12323094045666,52.165233387800825,42.96945928156287
170,8.94427190999916,6.441015552479273,250.3318989852556,51.168480638963324,42.984071194968315
171,8.94427190999916,6.520268282258551,252.99983947075808,49.892028747752384,42.92197547765251
172,8.94427190999916,6.555481826578513,255.66777995626057,48.58618849279413,42.74269479022267
173,11.661903789690601,6.696852291737301,255.66777995626057,47.40984420538732,42.02407592407034
174,11.661903789690601,6.873988750172717,255.66777995626057,46.22530208808333,42.049481837474204
175,11.661903789690601,6.862583494469814,255.66777995626052,45.036555180404356,42.0640132226301
176,11.661903789690601,6.738537597796918,254.208507515557,44.79498374661301,41.73634911031837
177,10.0,6.754968932578609,255.66777995626057,43.847682447025925,41.12618479166809
178,10.0,6.885716792431797,257.1270523969641,42.909332371692756,40.93254453928605
179,10.0,6.918844652006267,255.91838435216516,41.83257480793186,41.17836722368854
180,10.0,6.964419592616208,254.70971630736625,40.7794659428929,41.32686214148569
181,10.0,6.9941134765456585,253.50104826256734,39.75198267690847,41.17097152945185
182,10.0,6.954920741661261,252.2923802177684,38.751744175974586,41.035761834516094
183,10.0,6.939414642372717,250.46442448551798,38.414756063019425,40.72526097391061
184,10.0,6.928804515625701,248.6364687532676,38.07846571610732,40.16957979222447
185,10.0,6.924251325652145,248.6364687532676,37.43320085019048,39.93250004564332
186,10.0,6.943417625677833,248.6364687532676,36.79570148384142,40.06798736132786
187,10.0,6.925212238491922,246.80851302101718,36.466217715956134,39.976496399392005
188,10.0,6.917035905843974,247.99754622182937,36.13792149933099,40.036251427598
189,10.0,6.936950704540065,249.18657942264156,35.81089216527356,39.661423575491106
190,10.0,7.017670478899891,250.37561262345375,35.48520711391253,39.1357096276446
191,10.0,7.004583383610097,251.56464582426594,35.16094172110626,39.009940597359105
192,10.0,6.895129532307967,252.75367902507813,34.83816925261301,39.29471014740297
193,10.0,6.781676862529586,251.54501098027922,35.25172162338079,39.15533646193308
194,10.0,6.688596540223863,253.78891437158256,34.701613027856716,39.31711075518325
195,11.661903789690601,6.681411918666392,251.12097388608015,34.87483163222425,39.16328853776221
