s_idx,Theta_ACF_Raw,Theta_ACF_Smoothed
0,49.1297,49.1297
1,45.0,47.0649
2,45.0,46.3755
3,45.0,46.0311
4,45.0,45.8246
5,45.0,45.687
6,45.0,45.5887
7,45.0,45.515
8,45.0,45.4578
9,42.2798,45.1401
10,42.8284,44.9299
11,45.0,44.9357
12,49.1297,45.2579
13,49.1297,45.5343
14,49.1297,45.7741
15,49.1297,45.984
16,49.1297,46.1693
17,49.1297,46.334
18,52.6751,46.6665
19,49.1297,46.79
20,49.1297,46.9018
21,49.1297,47.0034
22,42.6733,46.815
23,42.6733,46.6422
24,42.6733,46.4832
25,45.0,46.3174
26,45.0,46.3174
27,45.0,46.3174
28,45.0,46.3174
29,45.0,46.3174
30,45.0,46.3174
31,45.0,46.3174
32,45.0,46.3174
33,45.0,46.3174
34,45.0,46.4261
35,49.1297,46.6787
36,49.0651,46.8419
37,45.0,46.6761
38,45.0,46.5104
39,45.0,46.3447
40,45.0,46.1791
41,45.0,46.0135
42,45.0,45.848
43,45.0,45.5429
44,45.0,45.3778
45,49.1297,45.3778
46,49.1297,45.3778
47,49.1297,45.636
48,49.1297,45.8942
49,45.0,45.9872
50,45.0,45.9872
51,45.0,45.9872
52,45.0,45.9872
53,49.1297,46.1525
54,45.0,46.1525
55,39.2199,45.9232
56,45.0,45.9232
57,45.0,45.9232
58,45.0,45.9232
59,45.0,45.9232
60,45.0,45.7578
61,45.0,45.5951
62,45.0,45.5951
63,45.0,45.5951
64,49.1297,45.7604
65,52.6751,46.066
66,52.6751,46.3722
67,49.7312,46.5621
68,45.0,46.5621
69,45.0,46.5621
70,45.0,46.3962
71,45.0,46.2304
72,45.0,46.0646
73,45.0,45.8989
74,45.0,45.8989
75,45.0,45.8989
76,45.0,45.8989
77,45.0,45.8989
78,49.1297,45.8989
79,45.0,45.8989
80,45.0,46.1285
81,45.0,46.1285
82,45.0,46.1285
83,45.0,46.1285
84,45.0,46.1285
85,45.0,46.1285
86,45.0,46.1285
87,45.0,46.1285
88,47.3267,46.2219
89,45.0,46.0563
90,45.0,45.751
91,46.3013,45.4985
92,45.0,45.3098
93,45.0,45.3098
94,45.0,45.3098
95,52.3382,45.601
96,47.3818,45.6964
97,50.1944,45.9039
98,50.1944,46.1115
99,50.9443,46.3491
100,52.3382,46.642
101,50.9443,46.8801
102,50.9443,47.1184
103,49.0651,47.1158
104,50.9443,47.3542
105,49.0651,47.5174
106,45.0,47.5174
107,45.0,47.5174
108,45.0,47.5174
109,45.0,47.5174
110,45.0,47.5174
111,45.0,47.5174
112,39.0557,47.2829
113,39.0557,46.954
114,39.0557,46.718
115,45.0,46.718
116,45.0,46.6655
117,45.0,46.6655
118,45.0,46.6655
119,45.0,46.6655
120,45.0,46.371
121,45.0,46.275
122,45.0,46.066
123,45.0,45.8572
124,45.0,45.6188
125,45.0,45.326
126,50.9443,45.326
127,45.0,45.0885
128,45.0,44.9256
129,45.0,44.6887
130,45.0,44.5263
131,45.0,44.5263
132,50.9443,44.7629
133,45.0,44.7629
134,45.0,44.7629
135,58.2825,45.2788
136,59.0362,45.8263
137,50.9443,46.3041
138,50.9443,46.7812
139,59.0362,47.5723
140,50.9443,47.8128
141,52.0181,48.0966
142,52.0181,48.3804
143,52.0181,48.6642
144,52.0181,48.948
145,52.0181,49.2318
146,52.0181,49.5154
147,58.2825,50.048
148,50.9443,50.2879
149,45.0,50.2879
150,59.8724,50.8833
151,45.0,50.6435
152,45.0,50.6435
153,45.0,50.6435
154,47.3387,50.7373
155,48.7854,50.8894
156,45.0,50.8894
157,48.7854,50.8018
158,48.7854,50.9538
159,52.6751,51.2631
160,52.6751,51.0389
161,52.6751,50.786
162,50.2696,50.7587
163,50.2696,50.7315
164,49.1297,50.3365
165,49.1297,50.2633
166,45.0,49.9813
167,45.0,49.699
168,45.0,49.4164
169,45.0,49.1337
170,47.3267,48.9444
171,50.2696,48.874
172,49.7312,48.5361
173,48.7854,48.4492
174,49.3078,48.6224
175,48.7854,48.1886
176,47.404,48.2849
177,45.8479,48.3188
178,45.8479,48.3526
179,47.6103,48.3635
180,46.9601,48.2903
181,45.8479,48.3241
182,45.8479,48.2063
183,45.0,48.0546
184,47.1716,47.8346
185,45.0,47.5278
186,46.3013,47.2734
187,48.1701,47.1895
188,50.1944,47.1865
189,50.1944,47.229
190,52.3382,47.3566
191,50.1944,47.5647
192,46.3013,47.6167
193,46.3013,47.6688
194,45.0,47.6688
195,48.5625,47.7183
196,50.1944,47.7153
197,46.3013,47.5779
198,50.1944,47.6343
199,45.0,47.4617
200,45.0,47.31
201,45.0,47.2137
202,45.0,47.1798
203,45.0,47.1458
204,45.0,47.0412
205,45.0,46.9626
206,45.0,46.9286
207,45.0,46.8946
208,45.0,46.8946
209,45.0,46.8075
210,45.0,46.8075
211,45.0,46.7554
212,45.0,46.6282
213,45.0,46.4202
214,59.0362,46.7603
215,45.0,46.4666
216,45.0,46.2581
217,45.0,46.2058
218,45.0,46.1534
219,45.0,46.1534
220,40.8703,45.8452
